order_id,customer_id,customer_name,email,order_date,ship_date,region,channel,product_category,quantity,unit_price,discount_pct,order_status,payment_status,delivery_days,customer_age,postcode
O004437,C00645,Mary Green,,14/07/2026,16/07/2026,South,Phone,Home,10,51,0,open,pending,2,24,XN3 6NE
O000816,C05316,Rita Baker,rita.baker5316@example.com,24/07/2026,25/07/2026,North,Web,Fashion,10,,20,delivered,paid,1,33,YA8 5YT
O005626,C05049,Robert Farah,robert.farah5049@example.com,16/07/2026,,East,Store,Beauty,1,52,0,delivered,paid,6,63,DO6 1LF
O009992,C01071,Chloe Ade,chloe.ade1071@example.com,16/07/2026,22/07/2026,South,Web,Home,12,,0,open,pending,6,47,D5 1PM
O002890,C04611,Aisha Noor,aisha.noor4611@example.com,10/07/2026,15/07/2026,North,Store,Fashion,11,59,20,shipped,paid,5,42,UN1 4VR
O006254,C04729,Leo Diallo,leo.diallo4729@example.com,09/07/2026,13/07/2026,,Web,Home,4,75,15,cancelled,refund_pending,4,47,J3 9YY
O006905,C01044,Leo Bello,leo.bello1044@example.com,05/07/2026,07/07/2026,West,Phone,Beauty,6,31,10,delivered,paid,2,49,P8 5ZW
O008632,C03339,Ruth Baker,ruth.baker3339@example.com,15/07/2026,17/07/2026,North,Web,Electronics,3,106,15,shipped,paid,2,66,A1 2UV
O002189,C00054,Amara Baker,amara.baker54@example.com,12/07/2026,19/07/2026,West,Web,Home,10,62,0,delivered,paid,7,33,XA9 0FA
O004762,C02621,Fatima Carter,fatima.carter2621@example.com,04/07/2026,10/07/2026,South,Phone,Fashion,9,35,15,delivered,paid,6,28,NU8 9MV
O002942,C02404,David Baker,david.baker2404@example.com,10/07/2026,15/07/2026,North,Store,Beauty,7,32,10,delivered,paid,5,54,LK7 5PK
O003613,C04026,Mary Yusuf,mary.yusuf4026@example.com,10/07/2026,11/07/2026,East,Web,Fashion,9,44,15,shipped,paid,1,31,W3 0RT
O009195,C01945,Ella Yusuf,ella.yusuf1945@example.com,15/07/2026,22/07/2026,North,Phone,Electronics,3,271,15,delivered,paid,7,18,BF9 5RB
O004357,C03352,Lina Nwosu,lina.nwosu3352@example.com,09/07/2026,12/07/2026,South,Store,Fashion,3,37,0,cancelled,refund_pending,3,45,UR1 1NU
O004506,C03418,Ivy Ibrahim,ivy.ibrahim3418@example.com,19/07/2026,22/07/2026,North,Store,Beauty,7,39,5,delivered,paid,3,48,D5 3LN
O001033,C01252,Hana Bello,hana.bello1252@example.com,18/07/2026,21/07/2026,South,Phone,Home,4,96,5,shipped,pending,3,64,YC7 5OF
O000480,C03307,Grace Ibrahim,grace.ibrahim3307@example.com,13/07/2026,14/07/2026,East,Web,Beauty,3,16,0,open,pending,1,18,BU1 8EK
O008475,C02477,Leo Hassan,leo.hassan2477@example.com,30/07/2026,03/08/2026,South,Phone,Beauty,9,17,5,shipped,paid,4,51,TO4 7YH
O009285,C01561,Ella Green,ella.green1561@example.com,18/07/2026,24/07/2026,South,Web,Electronics,7,87,0,delivered,paid,6,38,ER2 7DL
O005140,C04517,Robert Ibrahim,robert.ibrahim4517@example.com,23/07/2026,30/07/2026,South,Store,Electronics,9,80,10,delivered,paid,7,34,K7 4XH
O001780,C02086,Zainab Mensah,zainab.mensah2086@example.com,01/07/2026,08/07/2026,South,Web,Electronics,11,107,15,delivered,paid,7,43,W5 6CV
O003213,C01896,Grace Owusu,grace.owusu1896@example.com,23/07/2026,26/07/2026,East,Store,Beauty,8,70,0,delivered,paid,3,62,G8 1AU
O009956,C04814,Chloe Owusu,chloe.owusu4814@example.com,17/07/2026,24/07/2026,East,Store,Electronics,8,272,15,shipped,paid,7,58,RR3 8QS
O004120,C01092,Ngozi Nwosu,ngozi.nwosu1092@example.com,28/07/2026,04/08/2026,North,Store,Beauty,3,12,0,delivered,paid,7,63,C2 8UB
O004086,C04247,Ben Bello,ben.bello4247@example.com,02/07/2026,,East,Web,Fashion,7,59,20,cancelled,refund_pending,4,54,P6 6HF
O005074,C04590,Tom Bello,tom.bello4590@example.com,21/07/2026,22/07/2026,North,Web,Fashion,12,40,10,open,pending,1,39,RU7 7LT
O005396,C02129,Liam Brown,liam.brown2129@example.com,16/07/2026,19/07/2026,West,Web,Beauty,6,64,20,open,pending,3,53,O9 4SW
O006345,C03005,Kwame Green,kwame.green3005@example.com,21/07/2026,27/07/2026,North,Web,Electronics,8,206,5,shipped,paid,6,55,T7 5HB
O007696,C02869,Sara Okafor,,29/07/2026,03/08/2026,South,Phone,Home,4,50,10,shipped,paid,5,56,C7 3LY
O007084,C05094,Kwame Ali,kwame.ali5094@example.com,03/07/2026,04/07/2026,West,Store,Fashion,8,44,20,delivered,paid,1,56,EA7 3OY
O008957,C04772,Mary James,mary.james4772@example.com,17/07/2026,22/07/2026,South,Web,Beauty,9,34,10,shipped,paid,5,23,KX3 4BM
O005614,C00136,Leo Reyes,,06/07/2026,09/07/2026,East,Web,Fashion,3,19,0,returned,refund_pending,3,52,Y4 9DH
O000307,C02531,Yusuf Stone,yusuf.stone2531@example.com,03/07/2026,04/07/2026,South,Store,Fashion,11,41,15,delivered,paid,1,65,J2 6JE
O001401,C01050,Nadia Bello,nadia.bello1050@example.com,20/07/2026,21/07/2026,East,Store,Beauty,4,45,5,returned,refund_pending,1,38,X5 3EY
O005851,C03907,Robert Diallo,robert.diallo3907@example.com,16/07/2026,17/07/2026,South,Store,Home,12,21,20,delivered,paid,1,52,O2 3MH
O002629,C03444,Marcus Bello,marcus.bello3444@example.com,20/07/2026,23/07/2026,West,Phone,Beauty,1,11,10,shipped,paid,3,39,JN6 3HW
O001378,C04099,Rita Park,rita.park4099@example.com,09/07/2026,16/07/2026,South,Web,Fashion,5,,15,open,pending,7,27,M4 3YY
O009888,C03685,Chen Mensah,chen.mensah3685@example.com,01/07/2026,05/07/2026,West,Web,Electronics,11,143,20,open,pending,4,68,OC7 9HV
O005902,C05221,Fatima Yusuf,fatima.yusuf5221@example.com,23/07/2026,25/07/2026,West,Web,Electronics,7,66,0,open,failed,2,43,H1 4NS
